264,H.264/MPEG-4 AVC video data file,https://www.file-extensions.org/264-file-extension
3g2,3GPP2 multimedia data,https://www.file-extensions.org/3g2-file-extension
3gp,Multimedia files for wireless networks,https://www.file-extensions.org/3gp-file-extension
arf,WebEx advanced record file,https://www.file-extensions.org/arf-file-extension
asf,Advanced Systems (streaming) format,https://www.file-extensions.org/asf-file-extension
asx,Microsoft Advanced Streaming Redirector,https://www.file-extensions.org/asx-file-extension
avi,Audio Video Interleave movie,https://www.file-extensions.org/avi-file-extension
bik,BINK video,https://www.file-extensions.org/bik-file-extension
dash,Dynamic Adaptive Streaming over HTTP video,https://www.file-extensions.org/dash-file-extension
dat,Video CD MPEG movie MPEG1,https://www.file-extensions.org/dat-file-extension-video-cd-mpeg-movie-mpeg1
dvr,Microsoft Windows XP Media Center TV recording,https://www.file-extensions.org/dvr-file-extension
flv,Flash video,https://www.file-extensions.org/flv-file-extension
h264,H.264 video,https://www.file-extensions.org/h264-file-extension
m2t,MPEG-2 transport stream,https://www.file-extensions.org/m2t-file-extension
m2ts,MPEG-2 stream (Blu-Ray),https://www.file-extensions.org/m2ts-file-extension
m4v,MPEG-4 video file format,https://www.file-extensions.org/m4v-file-extension
mkv,Matroska multimedia container video file,https://www.file-extensions.org/mkv-file-extension
mod,Hard disk camera movie MPEG-2 program stream,https://www.file-extensions.org/mod-file-extension
mov,Apple QuickTime digital video,https://www.file-extensions.org/mov-file-extension
mp4,MPEG-4 video file format,https://www.file-extensions.org/mp4-file-extension
mpeg,MPEG movie,https://www.file-extensions.org/mpeg-file-extension
mpg,MPEG 1 video file format,https://www.file-extensions.org/mpg-file-extension
mts,AVCHD MPEG-2 transport stream,https://www.file-extensions.org/mts-file-extension
ogv,Ogg Vorbis video,https://www.file-extensions.org/ogv-file-extension
prproj,Adobe Premiere Pro project,https://www.file-extensions.org/prproj-file-extension
rec,Recorded data,https://www.file-extensions.org/rec-file-extension
rmvb,RealMedia variable bitrate,https://www.file-extensions.org/rmvb-file-extension
swf,"ShockWave Flash, Animated vector format for the Internet",https://www.file-extensions.org/swf-file-extension
tod,Hard disk camera movie MPEG-2 transport stream,https://www.file-extensions.org/tod-file-extension
tp,MPEG-2 TV recorded video,https://www.file-extensions.org/tp-file-extension
ts,MPEG-TV recorded video format,https://www.file-extensions.org/ts-file-extension
vob,DVD video object,https://www.file-extensions.org/vob-file-extension
webm,Matroska WebM video,https://www.file-extensions.org/webm-file-extension
wlmp,Microsoft Windows Live Movie Maker video project,https://www.file-extensions.org/wlmp-file-extension
wmv,Windows Media Video,https://www.file-extensions.org/wmv-file-extension
3ga,Audio file for wireless networks,https://www.file-extensions.org/3ga-file-extension
aac,Advanced audio coding stream file,https://www.file-extensions.org/aac-file-extension
aiff,Audio Interchange File Format,https://www.file-extensions.org/aiff-file-extension
amr,Adaptive Multi-Rate compressed audio,https://www.file-extensions.org/amr-file-extension
ape,Monkey's Audio lossless audio compression format,https://www.file-extensions.org/ape-file-extension
arf,WebEx advanced record file,https://www.file-extensions.org/arf-file-extension
asf,Advanced Systems (streaming) format,https://www.file-extensions.org/asf-file-extension
asx,Microsoft Advanced Streaming Redirector,https://www.file-extensions.org/asx-file-extension
cda,CD Audio track,https://www.file-extensions.org/cda-file-extension
dvf,Sony DV voice data,https://www.file-extensions.org/dvf-file-extension
flac,Audio files encoded by Flac - free lossless audio codec,https://www.file-extensions.org/flac-file-extension
logic,Apple Logic Pro music project,https://www.file-extensions.org/logic-file-extension
m4a,MPEG-4 compressed audio,https://www.file-extensions.org/m4a-file-extension
m4b,MPEG-4 Audio Layer audio book,https://www.file-extensions.org/m4b-file-extension
m4p,Apple iTunes Music Store audio,https://www.file-extensions.org/m4p-file-extension
midi,MIDI-sequention sound,https://www.file-extensions.org/midi-file-extension
mp3,"Compressed audio and music file, mp3 songs or ringtones",https://www.file-extensions.org/mp3-file-extension
ogg,Ogg Vorbis audio,https://www.file-extensions.org/ogg-file-extension
opus,Opus audio data,https://www.file-extensions.org/opus-file-extension
pcm,PCM audio data file,https://www.file-extensions.org/pcm-file-extension
rec,Recorded data,https://www.file-extensions.org/rec-file-extension
snd,Sound data,https://www.file-extensions.org/snd-file-extension
sng,Audio or song,https://www.file-extensions.org/sng-file-extension
uax,Unreal audio package,https://www.file-extensions.org/uax-file-extension
wav,"WAVe PCM Sound, standard Windows sound format",https://www.file-extensions.org/wav-file-extension
wma,Windows Media Audio file,https://www.file-extensions.org/wma-file-extension
wpl,Microsoft Windows Media Player playlist,https://www.file-extensions.org/wpl-file-extension
zab,Zipped audio book,https://www.file-extensions.org/zab-file-extension
bmp,Standard Windows bitmap image,https://www.file-extensions.org/bmp-file-extension
cpt,Corel PHOTO-PAINT bitmap image,https://www.file-extensions.org/cpt-file-extension
dds,DirectDraw surface data,https://www.file-extensions.org/dds-file-extension
dib,Device-Independent bitmap graphics,https://www.file-extensions.org/dib-file-extension
dng,Adobe Digital Negative,https://www.file-extensions.org/dng-file-extension
